species_code,n_records,percentile,last_sync
wermar2,0,1.9731,2025-04-27T17:52:55.782Z
resswa2,0,1.9823,2025-04-27T17:52:55.782Z
prigre1,0,1.9914,2025-04-27T17:52:55.782Z
anweye1,0,2.0005,2025-04-27T17:52:55.782Z
marwhe1,0,2.0097,2025-04-27T17:52:55.782Z
wtweye1,0,2.0188,2025-04-27T17:52:55.782Z
sanwhe1,0,2.0280,2025-04-27T17:52:55.782Z
wcweye1,0,2.0371,2025-04-27T17:52:55.782Z
robwhe1,0,2.0462,2025-04-27T17:52:55.782Z
vanwhe1,0,2.0554,2025-04-27T17:52:55.782Z
gytwhe4,0,2.0645,2025-04-27T17:52:55.782Z
namscb1,0,2.0736,2025-04-27T17:52:55.782Z
sumlau1,0,2.0828,2025-04-27T17:52:55.782Z
chmbab1,0,2.0919,2025-04-27T17:52:55.782Z
raista2,0,2.1010,2025-04-27T17:52:55.782Z
kossta1,0,2.1102,2025-04-27T17:52:55.782Z
myssta1,0,2.1193,2025-04-27T17:52:55.782Z
pohsta1,0,2.1284,2025-04-27T17:52:55.782Z
norsta1,0,2.1376,2025-04-27T17:52:55.782Z
reusta1,0,2.1467,2025-04-27T17:52:55.782Z
rodsta2,0,2.1558,2025-04-27T17:52:55.782Z
cozthr1,0,2.1650,2025-04-27T17:52:55.782Z
olomao,0,2.1741,2025-04-27T17:52:55.782Z
kamao,0,2.1832,2025-04-27T17:52:55.782Z
amaui,0,2.1924,2025-04-27T17:52:55.782Z
bonthr2,0,2.2015,2025-04-27T17:52:55.782Z
sacthr3,0,2.2107,2025-04-27T17:52:55.782Z
serthr2,0,2.2198,2025-04-27T17:52:55.782Z
slbthr1,0,2.2289,2025-04-27T17:52:55.782Z
unithr1,0,2.2381,2025-04-27T17:52:55.782Z
grcthr1,0,2.2472,2025-04-27T17:52:55.782Z
rubfly1,0,2.2563,2025-04-27T17:52:55.782Z
bubfly2,0,2.2655,2025-04-27T17:52:55.782Z
hawoo,0,2.2746,2025-04-27T17:52:55.782Z
kioea,0,2.2837,2025-04-27T17:52:55.782Z
kauoo,0,2.2929,2025-04-27T17:52:55.782Z
cebflo1,0,2.3020,2025-04-27T17:52:55.782Z
oahoo,0,2.3111,2025-04-27T17:52:55.782Z
bisoo,0,2.3203,2025-04-27T17:52:55.782Z
rocsun2,0,2.3294,2025-04-27T17:52:55.782Z
prisun3,0,2.3385,2025-04-27T17:52:55.782Z
rehwea3,0,2.3477,2025-04-27T17:52:55.782Z
batwea1,0,2.3568,2025-04-27T17:52:55.782Z
yelwea2,0,2.3659,2025-04-27T17:52:55.782Z
reufod1,0,2.3751,2025-04-27T17:52:55.782Z
nehmun1,0,2.3842,2025-04-27T17:52:55.782Z
blfwax1,0,2.3933,2025-04-27T17:52:55.782Z
korspa1,0,2.4025,2025-04-27T17:52:55.782Z
rtweye1,0,2.4116,2025-04-27T17:52:55.782Z
ou,0,2.4208,2025-04-27T17:52:55.782Z
poouli,0,2.4299,2025-04-27T17:52:55.782Z
kakawa,0,2.4390,2025-04-27T17:52:55.782Z
nukupu3,0,2.4482,2025-04-27T17:52:55.782Z
nukupu2,0,2.4573,2025-04-27T17:52:55.782Z
lanhoo,0,2.4664,2025-04-27T17:52:55.782Z
oahala,0,2.4756,2025-04-27T17:52:55.782Z
ulahaw,0,2.4847,2025-04-27T17:52:55.782Z
hawmam1,0,2.4938,2025-04-27T17:52:55.782Z
akepa2,0,2.5030,2025-04-27T17:52:55.782Z
kongro,0,2.5121,2025-04-27T17:52:55.782Z
nukupu1,0,2.5212,2025-04-27T17:52:55.782Z
grkfin,0,2.5304,2025-04-27T17:52:55.782Z
apapan2,0,2.5395,2025-04-27T17:52:55.782Z
akepa3,0,2.5486,2025-04-27T17:52:55.782Z
lesaki,0,2.5578,2025-04-27T17:52:55.782Z
lekfin,0,2.5669,2025-04-27T17:52:55.782Z
blkmam,0,2.5760,2025-04-27T17:52:55.782Z
greama,0,2.5852,2025-04-27T17:52:55.782Z
greaki3,0,2.5943,2025-04-27T17:52:55.782Z
bongro1,0,2.6035,2025-04-27T17:52:55.782Z
greaki4,0,2.6126,2025-04-27T17:52:55.782Z
greaki2,0,2.6217,2025-04-27T17:52:55.782Z
bertow1,0,2.6309,2025-04-27T17:52:55.782Z
vilbrf1,0,2.6400,2025-04-27T17:52:55.782Z
slbgra1,0,2.6491,2025-04-27T17:52:55.782Z
bacwar,0,2.6583,2025-04-27T17:52:55.782Z
semwar1,0,2.6674,2025-04-27T17:52:55.782Z
sabred1,0,2.6765,2025-04-27T17:52:55.782Z
whfred1,0,2.6857,2025-04-27T17:52:55.782Z
sirtan1,0,2.6948,2025-04-27T17:52:55.782Z
scaflo1,0,2.7039,2025-04-27T17:52:55.782Z
dugfin1,0,2.7131,2025-04-27T17:52:55.782Z
purbul3,0,2.7222,2025-04-27T17:52:55.782Z
labduc,1,2.7313,2025-04-27T17:52:55.782Z
alacur1,1,2.7405,2025-04-27T17:52:55.782Z
siwpig1,1,2.7496,2025-04-27T17:52:55.782Z
pwgdov1,1,2.7587,2025-04-27T17:52:55.782Z
tobpig1,1,2.7679,2025-04-27T17:52:55.782Z
dodo1,1,2.7770,2025-04-27T17:52:55.782Z
daedov3,1,2.7862,2025-04-27T17:52:55.782Z
itonig1,1,2.7953,2025-04-27T17:52:55.782Z
tutpuf1,1,2.8044,2025-04-27T17:52:55.782Z
samsab1,1,2.8136,2025-04-27T17:52:55.782Z
canoys1,1,2.8227,2025-04-27T17:52:55.782Z
slbcur,1,2.8318,2025-04-27T17:52:55.782Z
bubbut1,1,2.8410,2025-04-27T17:52:55.782Z
nebgos1,1,2.8501,2025-04-27T17:52:55.782Z
albowl1,1,2.8592,2025-04-27T17:52:55.782Z
sulboo1,1,2.8684,2025-04-27T17:52:55.782Z
vardwk8,1,2.8775,2025-04-27T17:52:55.782Z
moukin2,1,2.8866,2025-04-27T17:52:55.782Z
phiwoo3,1,2.8958,2025-04-27T17:52:55.782Z
burtai1,1,2.9049,2025-04-27T17:52:55.782Z
railor8,1,2.9140,2025-04-27T17:52:55.782Z
rablor1,1,2.9232,2025-04-27T17:52:55.782Z
irilor1,1,2.9323,2025-04-27T17:52:55.782Z
ninpar1,1,2.9414,2025-04-27T17:52:55.782Z
blfpit1,1,2.9506,2025-04-27T17:52:55.782Z
masray1,1,2.9597,2025-04-27T17:52:55.782Z
brbfai1,1,2.9688,2025-04-27T17:52:55.782Z
mayhon1,1,2.9780,2025-04-27T17:52:55.782Z
leahon1,1,2.9871,2025-04-27T17:52:55.782Z
ghacus1,1,2.9963,2025-04-27T17:52:55.782Z
matfan1,1,3.0054,2025-04-27T17:52:55.782Z
manfan2,1,3.0145,2025-04-27T17:52:55.782Z
whbmon1,1,3.0237,2025-04-27T17:52:55.782Z
hawcro,1,3.0328,2025-04-27T17:52:55.782Z
strwar1,1,3.0419,2025-04-27T17:52:55.782Z
sangob1,1,3.0511,2025-04-27T17:52:55.782Z
sasgre1,1,3.0602,2025-04-27T17:52:55.782Z
orsbul2,1,3.0693,2025-04-27T17:52:55.782Z
sclwar1,1,3.0785,2025-04-27T17:52:55.782Z
bnhnut2,1,3.0876,2025-04-27T17:52:55.782Z
eurnut6,1,3.0967,2025-04-27T17:52:55.782Z
bouthr1,1,3.1059,2025-04-27T17:52:55.782Z
nebthr1,1,3.1150,2025-04-27T17:52:55.782Z
burthr1,1,3.1241,2025-04-27T17:52:55.782Z
engthr1,1,3.1333,2025-04-27T17:52:55.782Z
louflo1,1,3.1424,2025-04-27T17:52:55.782Z
olbsun9,1,3.1515,2025-04-27T17:52:55.782Z
shcwin1,1,3.1607,2025-04-27T17:52:55.782Z
neimun1,1,3.1698,2025-04-27T17:52:55.782Z
reifir1,1,3.1790,2025-04-27T17:52:55.782Z
afgsno1,1,3.1881,2025-04-27T17:52:55.782Z
selcac1,1,3.1972,2025-04-27T17:52:55.782Z
parred1,1,3.2064,2025-04-27T17:52:55.782Z
edwphe1,2,3.2155,2025-04-27T17:52:55.782Z
crearg3,2,3.2246,2025-04-27T17:52:55.782Z
schfra2,2,3.2338,2025-04-27T17:52:55.782Z
nebbro1,2,3.2429,2025-04-27T17:52:55.782Z
tsiwor1,2,3.2520,2025-04-27T17:52:55.782Z
sulwoo1,2,3.2612,2025-04-27T17:52:55.782Z
fijpet1,2,3.2703,2025-04-27T17:52:55.782Z
nebspa1,2,3.2794,2025-04-27T17:52:55.782Z
sheowl1,2,3.2886,2025-04-27T17:52:55.782Z
solboo3,2,3.2977,2025-04-27T17:52:55.782Z
solboo4,2,3.3068,2025-04-27T17:52:55.782Z
bishao1,2,3.3160,2025-04-27T17:52:55.782Z
camhap1,2,3.3251,2025-04-27T17:52:55.782Z
punlor1,2,3.3342,2025-04-27T17:52:55.782Z
marpar1,2,3.3434,2025-04-27T17:52:55.782Z
strbri1,2,3.3525,2025-04-27T17:52:55.782Z
rotmyz1,2,3.3617,2025-04-27T17:52:55.782Z
neimyz1,2,3.3708,2025-04-27T17:52:55.782Z
isaori1,2,3.3799,2025-04-27T17:52:55.782Z
mtkbus1,2,3.3891,2025-04-27T17:52:55.782Z
cocfan4,2,3.3982,2025-04-27T17:52:55.782Z
snmrob1,2,3.4073,2025-04-27T17:52:55.782Z
flrgra1,2,3.4165,2025-04-27T17:52:55.782Z
dustet1,2,3.4256,2025-04-27T17:52:55.782Z
bouthi1,2,3.4347,2025-04-27T17:52:55.782Z
mousta1,2,3.4439,2025-04-27T17:52:55.782Z
whesta2,2,3.4530,2025-04-27T17:52:55.782Z
bubfly1,2,3.4621,2025-04-27T17:52:55.782Z
blmlea1,2,3.4713,2025-04-27T17:52:55.782Z
lalmaw1,2,3.4804,2025-04-27T17:52:55.782Z
alpmun1,2,3.4895,2025-04-27T17:52:55.782Z
grfpar1,2,3.4987,2025-04-27T17:52:55.782Z
somgro1,2,3.5078,2025-04-27T17:52:55.782Z
wilfin3,2,3.5169,2025-04-27T17:52:55.782Z
sompig1,3,3.5261,2025-04-27T17:52:55.782Z
yelpig1,3,3.5352,2025-04-27T17:52:55.782Z
wegdov1,3,3.5444,2025-04-27T17:52:55.782Z
socdov1,3,3.5535,2025-04-27T17:52:55.782Z
libbus1,3,3.5626,2025-04-27T17:52:55.782Z
dulfro1,3,3.5718,2025-04-27T17:52:55.782Z
cavswi3,3,3.5809,2025-04-27T17:52:55.782Z
whwflu1,3,3.5900,2025-04-27T17:52:55.782Z
inirai1,3,3.5992,2025-04-27T17:52:55.782Z
kirsan1,3,3.6083,2025-04-27T17:52:55.782Z
feaowl1,3,3.6174,2025-04-27T17:52:55.782Z
manhao1,3,3.6266,2025-04-27T17:52:55.782Z
biskin1,3,3.6357,2025-04-27T17:52:55.782Z
